iter	Passed	Remaining
408	31194	83210
409	31261	83109
410	31328	83009
411	31387	82887
412	31450	82777
413	31513	82664
414	31597	82611
415	31691	82580
416	31770	82512
417	31853	82453
418	31916	82343
419	31975	82223
420	32040	82118
421	32148	82124
422	32219	82033
423	32279	81916
424	32347	81819
425	32449	81809
426	32521	81722
427	32599	81650
428	32657	81529
429	32744	81480
430	32808	81373
431	32881	81290
432	32955	81209
433	33019	81103
434	33090	81013
435	33155	80911
436	33230	80833
437	33286	80709
438	33346	80593
439	33422	80517
440	33495	80435
441	33574	80365
442	33652	80294
443	33722	80204
444	33780	80086
445	33847	79990
446	33912	79888
447	33982	79797
448	34046	79695
449	34128	79634
450	34202	79553
451	34261	79437
452	34329	79344
453	34387	79228
454	34466	79160
455	34529	79055
456	34603	78975
457	34671	78881
458	34740	78790
459	34804	78688
460	34858	78564
461	34932	78484
462	34986	78359
463	35049	78257
464	35140	78214
465	35219	78147
466	35295	78073
467	35359	77971
468	35441	77911
469	35498	77794
470	35569	77708
471	35643	77630
472	35718	77553
473	35782	77453
474	35858	77378
475	35915	77262
476	35972	77148
477	36026	77027
478	36115	76981
479	36174	76871
480	36228	76749
481	36294	76655
482	36365	76571
483	36427	76467
484	36491	76369
485	36550	76260
486	36612	76157
487	36705	76119
488	36768	76017
489	36833	75921
490	36920	75870
491	36997	75800
492	37055	75688
493	37143	75641
494	37214	75556
495	37278	75459
496	37351	75380
497	37416	75284
498	37479	75184
499	37543	75086
500	37599	74973
501	37666	74882
502	37730	74786
503	37809	74718
504	37876	74627
505	37948	74546
506	38004	74435
507	38064	74330
508	38147	74270
509	38208	74169
510	38271	74071
511	38354	74011
512	38422	73924
513	38486	73828
514	38553	73737
515	38618	73645
516	38714	73609
517	38769	73498
518	38828	73393
519	38918	73346
520	38975	73238
521	39035	73136
522	39094	73031
523	39170	72959
524	39234	72863
525	39288	72750
526	39351	72654
527	39416	72561
528	39483	72473
529	39559	72400
530	39624	72309
531	39704	72244
532	39764	72143
533	39832	72055
534	39892	71955
535	39954	71858
536	40010	71750
537	40080	71668
538	40144	71574
539	40225	71512
540	40287	71415
541	40341	71305
542	40427	71250
543	40492	71159
544	40546	71049
545	40607	70952
546	40707	70921
547	40772	70831
548	40836	70739
549	40893	70634
550	40969	70562
551	41025	70457
552	41083	70353
553	41141	70251
554	41208	70165
555	41281	70090
556	41352	70010
557	41424	69931
558	41489	69842
559	41554	69751
560	41625	69671
561	41722	69635
562	41814	69592
563	41885	69512
564	41959	69437
565	42044	69380
566	42105	69284
567	42173	69200
568	42261	69148
569	42332	69068
570	42406	68993
571	42467	68898
572	42543	68827
573	42617	68751
574	42720	68723
575	42784	68633
576	42846	68540
577	42912	68452
578	42973	68356
579	43035	68263
580	43095	68167
581	43178	68106
582	43239	68010
583	43301	67918
584	43451	67962
585	43534	67902
586	43595	67807
587	43661	67719
588	43730	67637
589	43797	67551
590	43852	67448
591	43923	67368
592	43995	67292
593	44053	67192
594	44131	67125
595	44206	67051
596	44285	66984
597	44339	66880
598	44398	66782
599	44463	66695
600	44525	66602
601	44588	66512
602	44652	66423
603	44742	66372
604	44810	66290
605	44866	66189
606	44929	66098
607	44985	65998
608	45061	65927
609	45120	65831
610	45180	65737
611	45243	65647
612	45303	65553
613	45363	65459
614	45432	65378
615	45515	65317
616	45586	65239
617	45652	65154
618	45719	65070
619	45789	64991
620	45844	64891
621	45912	64808
622	45976	64721
623	46042	64637
624	46097	64536
625	46161	64449
626	46230	64369
627	46332	64334
628	46395	64245
629	46471	64175
630	46547	64103
631	46600	64002
632	46660	63909
633	46745	63851
634	46801	63753
635	46861	63661
636	46930	63581
637	46991	63489
638	47070	63423
639	47137	63340
640	47217	63275
641	47282	63190
642	47343	63099
643	47425	63036
644	47488	62950
645	47552	62863
646	47624	62787
647	47710	62730
648	47817	62700
649	47914	62658
650	47983	62577
651	48045	62488
652	48116	62412
653	48190	62337
654	48263	62264
655	48357	62215
656	48468	62190
657	48550	62127
658	48658	62096
659	48742	62036
660	48818	61965
661	48890	61889
662	48978	61832
663	49058	61766
664	49137	61698
665	49204	61616
666	49289	61556
667	49363	61483
668	49447	61420
669	49512	61336
670	49578	61253
671	49650	61176
672	49751	61135
673	49814	61049
674	49877	60961
675	49953	60889
676	50050	60844
677	50109	60752
678	50182	60677
679	50244	60588
680	50309	60503
681	50397	60446
682	50456	60355
683	50514	60263
684	50582	60182
685	50663	60116
686	50747	60054
687	50814	59973
688	50883	59892
689	50963	59826
690	51043	59759
691	51109	59677
692	51174	59592
693	51236	59504
694	51296	59415
695	51368	59339
696	51453	59278
697	51512	59187
698	51568	59093
699	51645	59023
700	51737	58970
701	51809	58895
702	51868	58804
703	51941	58729
704	52023	58664
705	52083	58575
706	52167	58513
707	52233	58430
708	52319	58370
709	52385	58287
710	52448	58202
711	52519	58126
712	52582	58039
713	52655	57965
714	52736	57899
715	52814	57830
716	52872	57739
717	52961	57681
718	53023	57595
719	53088	57512
720	53189	57468
721	53271	57402
722	53357	57343
723	53450	57289
724	53516	57207
725	53577	57119
726	53635	57029
727	53724	56971
728	53786	56885
729	53846	56797
730	53919	56722
731	53995	56651
732	54058	56566
733	54137	56497
734	54195	56407
735	54282	56347
736	54337	56254
737	54405	56174
738	54479	56101
739	54546	56021
740	54625	55952
741	54716	55896
742	54777	55809
743	54854	55739
744	54930	55667
745	54990	55580
746	55102	55545
747	55164	55459
748	55229	55376
749	55305	55305
750	55398	55251
751	55477	55182
752	55552	55110
753	55673	55082
754	55745	55007
755	55826	54939
756	55920	54886
757	55989	54808
758	56052	54722
759	56126	54649
760	56206	54581
761	56287	54514
762	56365	54444
763	56484	54414
764	56549	54331
765	56628	54262
766	56782	54265
767	56976	54305
768	57093	54272
769	57201	54230
770	57302	54181
771	57394	54123
772	57472	54052
773	57551	53982
774	57612	53895
775	57694	53828
776	57758	53744
777	57817	53655
778	57890	53580
779	57957	53499
780	58018	53412
781	58085	53331
782	58182	53277
783	58241	53190
784	58302	53103
785	58382	53034
786	58461	52964
787	58523	52879
788	58596	52803
789	58658	52718
790	58746	52656
791	58827	52588
792	58903	52515
793	58969	52434
794	59045	52361
795	59104	52273
796	59186	52205
797	59257	52128
798	59314	52039
799	59374	51952
800	59467	51895
801	59548	51826
802	59620	51749
803	59689	51671
804	59762	51596
805	59830	51516
806	59907	51444
807	59995	51382
808	60054	51294
809	60111	51206
810	60172	51120
811	60353	51137
812	60412	51049
813	60478	50968
814	60537	50881
815	60614	50809
816	60690	50736
817	60764	50661
818	60834	50583
819	60904	50506
820	60975	50429
821	61045	50351
822	61114	50273
823	61179	50190
824	61256	50119
825	61333	50046
826	61412	49976
827	61471	49889
828	61539	49810
829	61603	49728
830	61662	49641
831	61741	49571
832	61810	49493
833	61871	49408
834	61931	49322
835	62026	49265
836	62092	49184
837	62157	49103
838	62225	49024
839	62325	48970
840	62405	48900
841	62492	48835
842	62559	48756
843	62625	48675
844	62704	48605
845	62766	48521
846	62840	48447
847	62925	48381
848	62996	48304
849	63075	48233
850	63146	48157
851	63208	48073
852	63274	47993
853	63364	47931
854	63432	47852
855	63508	47779
856	63586	47708
857	63677	47647
858	63757	47576
859	63850	47516
860	63912	47433
861	63979	47353
862	64051	47277
863	64118	47198
864	64179	47114
865	64239	47029
866	64328	46966
867	64386	46880
868	64451	46799
869	64511	46715
870	64592	46645
871	64672	46576
872	64736	46494
873	64800	46413
874	64890	46350
875	64951	46266
876	65012	46183
877	65091	46112
878	65150	46027
879	65237	45962
880	65304	45883
881	65372	45805
882	65438	45725
883	65496	45640
884	65583	45574
885	65640	45489
886	65698	45403
887	65757	45319
888	65836	45249
889	65933	45190
890	66018	45123
891	66101	45055
892	66188	44990
893	66262	44916
894	66356	44855
895	66429	44780
896	66500	44704
897	66566	44624
898	66636	44547
899	66695	44463
900	66752	44377
901	66838	44312
902	66914	44239
903	66981	44160
904	67060	44089
905	67136	44016
906	67195	43932
907	67253	43847
908	67335	43779
909	67408	43704
910	67493	43637
911	67586	43575
912	67679	43513
913	67762	43445
914	67874	43395
915	67938	43314
916	68013	43240
917	68076	43159
918	68146	43082
919	68217	43006
920	68295	42935
921	68365	42858
922	68425	42775
923	68491	42696
924	68568	42623
925	68628	42540
926	68705	42468
927	68763	42384
928	68845	42314
929	68906	42232
930	68964	42149
931	69032	42071
932	69116	42003
933	69180	41923
934	69240	41840
935	69308	41762
936	69414	41707
937	69480	41629
938	69545	41549
939	69624	41478
940	69695	41402
941	69756	41320
942	69840	41252
943	69930	41188
944	69994	41107
945	70058	41027
946	70139	40958
947	70214	40884
948	70305	40820
949	70370	40741
950	70458	40674
951	70518	40592
952	70590	40517
953	70648	40433
954	70706	40351
955	70768	40270
956	70869	40211
957	70944	40137
958	71026	40068
959	71110	39999
960	71172	39919
961	71241	39841
962	71341	39782
963	71407	39704
964	71474	39625
965	71553	39554
966	71622	39477
967	71695	39402
968	71783	39336
969	71846	39256
970	71903	39172
971	71973	39096
972	72052	39025
973	72129	38952
974	72190	38871
975	72267	38799
976	72343	38726
977	72416	38651
978	72515	38590
979	72603	38524
980	72681	38452
981	72768	38384
982	72827	38303
983	72901	38228
984	73007	38171
985	73077	38095
986	73172	38032
987	73231	37950
988	73306	37876
989	73366	37794
990	73444	37722
991	73519	37648
992	73588	37572
993	73648	37491
994	73728	37419
995	73788	37338
996	73850	37258
997	73915	37179
998	73983	37102
999	74068	37034
1000	74139	36958
1001	74231	36893
1002	74297	36815
1003	74363	36737
1004	74458	36673
1005	74530	36598
1006	74608	36526
1007	74670	36446
1008	74760	36380
1009	74825	36301
1010	74920	36237
1011	74986	36159
1012	75045	36078
1013	75117	36002
1014	75199	35932
1015	75269	35856
1016	75346	35784
1017	75428	35713
1018	75500	35638
1019	75567	35561
1020	75625	35479
1021	75710	35410
1022	75775	35332
1023	75843	35255
1024	75918	35181
1025	75997	35109
1026	76055	35028
1027	76128	34954
1028	76210	34883
1029	76305	34818
1030	76361	34736
1031	76423	34657
1032	76505	34586
1033	76561	34504
1034	76628	34427
1035	76698	34351
1036	76761	34272
1037	76844	34202
1038	76902	34121
1039	76976	34047
1040	77049	33973
1041	77114	33894
1042	77179	33816
1043	77260	33746
1044	77323	33667
1045	77387	33589
1046	77444	33507
1047	77533	33440
1048	77615	33369
1049	77670	33287
1050	77743	33213
1051	77842	33149
1052	77905	33070
1053	77999	33005
1054	78089	32938
1055	78149	32858
1056	78224	32784
1057	78310	32715
1058	78375	32638
1059	78444	32561
1060	78513	32485
1061	78580	32409
1062	78638	32328
1063	78790	32286
1064	78866	32213
1065	78942	32139
1066	79015	32065
1067	79101	31996
1068	79168	31919
1069	79233	31841
1070	79315	31770
1071	79373	31690
1072	79436	31611
1073	79538	31548
1074	79597	31468
1075	79658	31389
1076	79727	31313
1077	79802	31239
1078	79877	31166
1079	79953	31092
1080	80032	31020
1081	80116	30950
1082	80176	30871
1083	80278	30808
1084	80338	30728
1085	80409	30653
1086	80489	30581
1087	80579	30513
1088	80663	30443
1089	80719	30362
1090	80796	30289
1091	80873	30216
1092	80934	30137
1093	81004	30061
1094	81080	29988
1095	81144	29910
1096	81204	29831
1097	81298	29764
1098	81356	29685
1099	81418	29606
1100	81478	29527
1101	81565	29458
1102	81649	29387
1103	81739	29319
1104	81802	29241
1105	81865	29163
1106	81924	29084
1107	81986	29005
1108	82068	28935
1109	82129	28856
1110	82210	28784
1111	82282	28710
1112	82360	28637
1113	82430	28561
1114	82495	28484
1115	82553	28405
1116	82650	28339
1117	82739	28270
1118	82824	28200
1119	82896	28125
1120	82959	28047
1121	83023	27970
1122	83088	27893
1123	83154	27816
1124	83229	27743
1125	83304	27669
1126	83391	27599
1127	83461	27524
1128	83544	27453
1129	83609	27376
1130	83681	27302
1131	83762	27230
1132	83829	27154
1133	83912	27083
1134	83971	27004
1135	84030	26925
1136	84095	26848
1137	84162	26772
1138	84225	26694
1139	84297	26620
1140	84365	26544
1141	84446	26472
1142	84517	26397
1143	84620	26333
1144	84702	26261
1145	84777	26187
1146	84839	26110
1147	84906	26034
1148	84966	25955
1149	85021	25876
1150	85106	25805
1151	85193	25735
1152	85253	25657
1153	85342	25588
1154	85406	25511
1155	85488	25439
1156	85557	25364
1157	85631	25290
1158	85707	25216
1159	85765	25138
1160	85838	25064
1161	85919	24992
1162	86000	24920
1163	86070	24845
1164	86138	24769
1165	86224	24698
1166	86291	24623
1167	86384	24554
1168	86460	24481
1169	86520	24403
1170	86604	24332
1171	86666	24254
1172	86746	24182
1173	86811	24106
1174	86879	24030
1175	86937	23952
1176	87000	23875
1177	87088	23805
1178	87153	23728
1179	87254	23662
1180	87341	23591
1181	87430	23521
1182	87508	23449
1183	87594	23378
1184	87681	23307
1185	87777	23239
1186	87853	23165
1187	87926	23091
1188	88001	23017
1189	88077	22944
1190	88137	22866
1191	88218	22794
1192	88311	22725
1193	88385	22651
1194	88537	22597
1195	88609	22522
1196	88699	22452
1197	88795	22384
1198	88867	22309
1199	88924	22231
1200	88986	22153
1201	89047	22076
1202	89114	22000
1203	89197	21929
1204	89274	21855
1205	89360	21784
1206	89433	21710
1207	89499	21633
1208	89604	21567
1209	89668	21490
1210	89748	21418
1211	89807	21340
1212	89858	21260
1213	89915	21182
1214	89972	21104
1215	90057	21033
1216	90132	20959
1217	90231	20890
1218	90293	20814
1219	90354	20737
1220	90414	20659
1221	90479	20583
1222	90554	20509
1223	90615	20432
1224	90692	20359
1225	90758	20283
1226	90816	20206
1227	90876	20129
1228	90954	20055
1229	91016	19979
1230	91087	19904
1231	91150	19828
1232	91263	19762
1233	91325	19686
1234	91403	19612
1235	91461	19535
1236	91534	19461
1237	91602	19385
1238	91676	19312
1239	91747	19237
1240	91830	19165
1241	91889	19088
1242	91962	19013
1243	92034	18939
1244	92098	18863
1245	92167	18788
1246	92239	18714
1247	92304	18638
1248	92378	18564
1249	92441	18488
1250	92512	18413
1251	92569	18336
1252	92678	18269
1253	92741	18193
1254	92817	18119
1255	92874	18042
1256	92957	17970
1257	93030	17896
1258	93094	17820
1259	93188	17750
1260	93271	17677
1261	93334	17601
1262	93418	17529
1263	93500	17457
1264	93579	17384
1265	93653	17310
1266	93718	17234
1267	93777	17158
1268	93834	17080
1269	93920	17009
1270	94005	16937
1271	94066	16861
1272	94152	16789
1273	94234	16716
1274	94295	16640
1275	94351	16563
1276	94433	16490
1277	94528	16420
1278	94645	16353
1279	94732	16282
1280	94794	16206
1281	94854	16129
1282	94932	16056
1283	94995	15980
1284	95056	15904
1285	95145	15832
1286	95214	15758
1287	95297	15685
1288	95361	15610
1289	95428	15534
1290	95489	15458
1291	95547	15382
1292	95613	15307
1293	95679	15231
1294	95743	15156
1295	95835	15085
1296	95911	15011
1297	95975	14936
1298	96034	14859
1299	96132	14789
1300	96208	14715
1301	96293	14643
1302	96352	14567
1303	96433	14494
1304	96528	14423
1305	96595	14348
1306	96679	14276
1307	96751	14202
1308	96819	14127
1309	96905	14055
1310	96969	13979
1311	97060	13908
1312	97146	13835
1313	97240	13764
1314	97327	13692
1315	97419	13621
1316	97509	13549
1317	97583	13475
1318	97692	13405
1319	97762	13331
1320	97856	13259
1321	97958	13189
1322	98023	13114
1323	98098	13040
1324	98189	12968
1325	98255	12893
1326	98317	12817
1327	98412	12746
1328	98492	12672
1329	98565	12598
1330	98636	12524
1331	98702	12448
1332	98767	12373
1333	98840	12299
1334	98918	12225
1335	98979	12150
1336	99055	12076
1337	99146	12004
1338	99221	11930
