iter	MultiClass
0	1.576299217
1	1.547530229
2	1.522267433
3	1.498631622
4	1.478057919
5	1.456352205
6	1.435614587
7	1.416966842
8	1.39949665
9	1.383198431
10	1.368335912
11	1.354409581
12	1.341352888
13	1.329597167
14	1.319206886
15	1.307169209
16	1.297128923
17	1.287875504
18	1.27876471
19	1.268743081
20	1.260769006
21	1.252535713
22	1.245083829
23	1.237858574
24	1.231582003
25	1.225151367
26	1.217970786
27	1.212322013
28	1.205584405
29	1.200680629
30	1.195740072
31	1.190254686
32	1.184798204
33	1.180001179
34	1.175033078
35	1.169823209
36	1.165529095
37	1.161716281
38	1.15824917
39	1.154194154
40	1.149909897
41	1.147068535
42	1.143057919
43	1.139657257
44	1.136649225
45	1.134185803
46	1.131250214
47	1.128067961
48	1.124612364
49	1.121442611
50	1.118810481
51	1.116375744
52	1.113427905
53	1.111081489
54	1.108228671
55	1.106227002
56	1.103702005
57	1.101587458
58	1.099323014
59	1.097614585
60	1.095212641
61	1.093517795
62	1.091990296
63	1.090246634
64	1.088366674
65	1.086357218
66	1.084642303
67	1.083150244
68	1.081463751
69	1.080085998
70	1.078401449
71	1.076860932
72	1.075141189
73	1.073628112
74	1.072517382
75	1.071197377
76	1.069948613
77	1.068887494
78	1.067643225
79	1.066212487
80	1.064474768
81	1.063204841
82	1.06218108
83	1.060847379
84	1.059848601
85	1.058963395
86	1.057903706
87	1.056513984
88	1.055589796
89	1.05465021
90	1.053699381
91	1.052570656
92	1.051286614
93	1.050313798
94	1.049276562
95	1.048202434
96	1.047372861
97	1.04671143
98	1.04561239
99	1.044665003
100	1.043559155
101	1.042588626
102	1.04170888
103	1.040505156
104	1.039516039
105	1.038711302
106	1.038017521
107	1.037435814
108	1.036530234
109	1.035667239
110	1.034874752
111	1.034278578
112	1.033751748
113	1.032818721
114	1.032082309
115	1.031288044
116	1.030522831
117	1.029643358
118	1.02876067
119	1.027920812
120	1.027079829
121	1.026539683
122	1.026004569
123	1.025317832
124	1.024564903
125	1.023912442
126	1.022962298
127	1.022369045
128	1.021784754
129	1.021268755
130	1.020475622
131	1.019887725
132	1.019331974
133	1.018699627
134	1.017955385
135	1.017488155
136	1.01699623
137	1.01642988
138	1.016046387
139	1.015204456
140	1.014596149
141	1.014161475
142	1.01371275
143	1.012929685
144	1.012533671
145	1.01159691
146	1.011007944
147	1.010501822
148	1.009982367
149	1.009385883
150	1.008784046
151	1.008479854
152	1.007767651
153	1.007145036
154	1.006680206
155	1.006336496
156	1.005863241
157	1.005293255
158	1.004686432
159	1.004249536
160	1.003884387
161	1.003415842
162	1.002752431
163	1.002290278
164	1.001916778
165	1.001486252
166	1.001094776
167	1.000732112
168	1.000234125
169	0.9998958799
170	0.9993918829
171	0.9989541773
172	0.9985418451
173	0.9979711504
174	0.9973866986
175	0.9969720658
176	0.9964778556
177	0.99616997
178	0.9956501941
179	0.9953190358
180	0.9948582955
181	0.9941085451
182	0.9934751778
183	0.993017989
184	0.9926027339
185	0.9922644493
186	0.991758924
187	0.99134032
188	0.9908402322
189	0.9904039523
190	0.9899923452
191	0.9896278531
192	0.9892375274
193	0.9889528034
194	0.9884783103
195	0.9880346342
196	0.9875477254
197	0.9869018345
198	0.9865331407
199	0.9862157209
200	0.9857495512
201	0.9854995491
202	0.9851897338
203	0.9848710385
204	0.984518466
205	0.9841030332
206	0.9838137739
207	0.9834891263
208	0.9829937573
209	0.9827541343
210	0.9823268995
211	0.9819319806
212	0.9813679502
213	0.9810005611
214	0.9807618789
215	0.9804917465
216	0.9801982402
217	0.9799925437
218	0.9797291969
219	0.979477589
220	0.9792587826
221	0.9789579337
222	0.9786751041
223	0.9784951209
224	0.9782284167
225	0.9779861702
226	0.9776654308
227	0.9774937863
228	0.9771729254
229	0.9768850963
230	0.9765151438
231	0.9762498849
232	0.9759210825
233	0.9755013309
234	0.9753345434
235	0.9750841182
236	0.9748833184
237	0.9743963249
238	0.9739890204
239	0.9736534824
240	0.9734926703
241	0.9731946198
242	0.9729772553
243	0.9726907024
244	0.9722772758
245	0.9719478855
246	0.9716618521
247	0.9713644145
248	0.9710221838
249	0.970688267
250	0.970345442
251	0.9701548657
252	0.9698814639
253	0.9695690945
254	0.9692914563
255	0.9690616719
256	0.9687029548
257	0.9683590141
258	0.9679930003
259	0.9676328995
260	0.9674329301
261	0.9671137323
262	0.9669005173
263	0.9666740467
264	0.9664657168
265	0.9661273091
266	0.9656754173
267	0.9654323401
268	0.9652445875
269	0.9649051317
270	0.9647146784
271	0.9644520138
272	0.9641607447
273	0.9638977343
274	0.9636301734
275	0.9633520965
276	0.9631107571
277	0.9628712621
278	0.9625026379
279	0.962151633
280	0.9618465874
281	0.9615347757
282	0.9613282228
283	0.9611346967
284	0.9609539435
285	0.9607815335
286	0.9604497778
287	0.960134997
288	0.9598087538
289	0.9595267238
290	0.9591018182
291	0.9588267191
292	0.9586164487
293	0.9583254141
294	0.957904042
295	0.9575093972
296	0.9573459191
297	0.9570418991
298	0.9565999333
299	0.9563956034
300	0.9561250145
301	0.9557393356
302	0.9556063225
303	0.9554931228
304	0.9552756719
305	0.9549878195
306	0.9548141013
307	0.9545962124
308	0.9542734112
309	0.9539002501
310	0.9536068364
311	0.9532862474
312	0.9530499993
313	0.9528502447
314	0.9526291067
315	0.9522667066
316	0.9519624734
317	0.951612776
318	0.951491227
319	0.9512196244
320	0.951034144
321	0.9506641426
322	0.9504522653
323	0.9502368407
324	0.949996305
325	0.9497692504
326	0.9495829182
327	0.9493825909
328	0.9491879526
329	0.9489982374
330	0.9488741665
331	0.9486958371
332	0.9484745977
333	0.9483247704
334	0.948140383
335	0.9478500994
336	0.9475740317
337	0.9474223278
338	0.9471757273
339	0.9468436219
340	0.9465461093
341	0.9463157403
342	0.9461401274
343	0.9459862429
344	0.9457271518
345	0.9455322675
346	0.9453621939
347	0.9451785567
348	0.9450663845
349	0.9448771666
350	0.9446190109
351	0.9443739661
352	0.9441577771
353	0.9440351577
354	0.9438443718
355	0.9437074762
356	0.9434461309
357	0.943167211
358	0.9429029294
359	0.9426856797
360	0.9425587738
361	0.9422781635
362	0.9421079657
363	0.9419993521
364	0.9417535175
365	0.9414506705
366	0.9411610613
367	0.9408519315
368	0.9406658375
369	0.9404494509
370	0.9403268248
371	0.9401080015
372	0.9399056928
373	0.9396162152
374	0.9394184141
375	0.9392675096
376	0.9391107426
377	0.9388559363
378	0.9386169773
379	0.9384360925
380	0.9382586952
381	0.9380720028
382	0.9379085059
383	0.9377420991
384	0.9374515501
385	0.9372581705
386	0.9371142012
387	0.9368869262
388	0.9367168067
389	0.9365528761
390	0.9363423296
391	0.9361938197
392	0.9360565623
393	0.9358380071
394	0.9355578199
395	0.9353814231
396	0.9352428658
397	0.9351508637
398	0.9349081376
399	0.9346822698
400	0.9345535362
401	0.9343031589
402	0.9340002078
403	0.9338465073
404	0.9336814273
405	0.9335377583
406	0.9333078128
407	0.9331634646
408	0.9329120729
409	0.9327669243
410	0.9325824578
411	0.9323974603
412	0.9322688295
413	0.9321495412
414	0.931940007
415	0.931862071
416	0.9317205422
417	0.9315842363
418	0.9314579018
419	0.9313162674
420	0.9311092419
421	0.9309469084
422	0.9307216581
423	0.9306102774
424	0.9304853586
425	0.9302729053
426	0.9299800205
427	0.9297105066
428	0.9295451316
429	0.9293181469
430	0.9291582751
431	0.9288827821
432	0.9286368421
